disease_mondo_term_norm,disease_mondo_termid,Disease Class
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with melancholia",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with seasonal pattern",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, with psychotic symptoms, with seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with melancholia",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with melancholia and seasonal pattern",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with melancholia and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with melancholia, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms and melancholia",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms and melancholia, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with prominent anxiety symptoms, melancholia, and seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with seasonal pattern",-1,Diseases of the nervous system
"Recurrent depressive disorder, current episode severe, without psychotic symptoms, with seasonal pattern, current episode perinatal",-1,Diseases of the nervous system
"Recurrent depressive disorder, currently in full remission",-1,Diseases of the nervous system
"Recurrent depressive disorder, currently in partial remission",-1,Diseases of the nervous system
Recurrent dislocation of the jaw,-1,Diseases of the nervous system
Recurrent episodes of focal cerebral ischaemia,-1,Diseases of the nervous system
Recurrent gastrointestinal disturbance,-1,Diseases of the nervous system
Recurrent optic neuritis aquaporin-4 antibody positive,-1,Diseases of the nervous system
Recurrent transverse myelitis aquaporin-4 antibody positive,-1,Diseases of the nervous system
Reduced Sensation,-1,Neurologic Manifestations
Reduced Sensations,-1,Neurologic Manifestations
reducing body myopathy,MONDO:0019948,Diseases of the nervous system
Reflex syncope,-1,Diseases of the nervous system
"Reflex, Abnormal",-1,Neurologic Manifestations
"Reflexes, Abnormal",-1,Neurologic Manifestations
Refractory Epilepsies,-1,Central Nervous System Diseases
"Refractory Epilepsies, Drug",-1,Central Nervous System Diseases
Refractory Epilepsy,-1,Central Nervous System Diseases
"Refractory Epilepsy, Drug",-1,Central Nervous System Diseases
Regurgitation disorder,-1,Diseases of the nervous system
Relaxation of posture,-1,Diseases of the nervous system
Repetitive excoriation,-1,Diseases of the nervous system
Repetitive scratching behaviour,-1,Diseases of the nervous system
Repetitive self-biting behaviour,-1,Diseases of the nervous system
"Resistant Epilepsies, Drug",-1,Central Nervous System Diseases
"Resistant Epilepsies, Medication",-1,Central Nervous System Diseases
"Resistant Epilepsy, Drug",-1,Central Nervous System Diseases
"Resistant Epilepsy, Medication",-1,Central Nervous System Diseases
Respiratory centre depression,-1,Diseases of the nervous system
Rest tremor,-1,Diseases of the nervous system
Rest tremor in Parkinsonism,-1,Diseases of the nervous system
Restless genital syndrome,-1,Diseases of the nervous system
Restless leg syndrome in pregnancy,-1,Diseases of the nervous system
Restlessness,-1,Neurologic Manifestations
"Restlessness, Psychomotor",-1,Neurologic Manifestations
Reston virus disease,-1,Diseases of the nervous system
Results of function studies of the nervous system,-1,Diseases of the nervous system
Retained foreign body following penetrating wound of orbit,-1,Diseases of the nervous system
Retained foreign body in anterior chamber of eye,-1,Diseases of the nervous system
Retained foreign body in eyelid,-1,Diseases of the nervous system
Retained foreign body in lower eyelid,-1,Diseases of the nervous system
Retained foreign body in upper eyelid,-1,Diseases of the nervous system
Retained foreign body of ocular muscle,-1,Diseases of the nervous system
"Retained intraocular magnetic foreign body, bilateral",-1,Diseases of the nervous system
"Retained intraocular magnetic foreign body, unilateral",-1,Diseases of the nervous system
"Retained intraocular nonmagnetic foreign body, bilateral",-1,Diseases of the nervous system
"Retained intraocular nonmagnetic foreign body, unilateral",-1,Diseases of the nervous system
"Retained magnetic foreign body in anterior chamber, unilateral",-1,Diseases of the nervous system
"Retained magnetic foreign body in ciliary body, unilateral",-1,Diseases of the nervous system
"Retained magnetic foreign body in iris, unilateral",-1,Diseases of the nervous system
"Retained magnetic foreign body in lens, unilateral",-1,Diseases of the nervous system
"Retained magnetic foreign body in posterior wall of globe, unilateral",-1,Diseases of the nervous system
"Retained magnetic foreign body in vitreous, unilateral",-1,Diseases of the nervous system
"Retained metallic foreign body with heterochromia, unilateral",-1,Diseases of the nervous system
"Retained nonmagnetic foreign body in anterior chamber, unilateral",-1,Diseases of the nervous system
"Retained nonmagnetic foreign body in ciliary body, unilateral",-1,Diseases of the nervous system
"Retained nonmagnetic foreign body in iris, unilateral",-1,Diseases of the nervous system
"Retained nonmagnetic foreign body in lens, unilateral",-1,Diseases of the nervous system
"Retained nonmagnetic foreign body in posterior wall of globe, unilateral",-1,Diseases of the nervous system
"Retained nonmagnetic foreign body in vitreous, unilateral",-1,Diseases of the nervous system
"Retention Disorder, Cognitive",-1,Neurologic Manifestations
"Retention Disorders, Cognitive",-1,Neurologic Manifestations
reticular perineurioma,MONDO:0015029,Diseases of the nervous system
Retinal migraine,-1,Diseases of the nervous system
retinitis pigmentosa-deafness syndrome,MONDO:0010775,Neurologic Manifestations
Susac syndrome,MONDO:0019390,Central Nervous System Diseases
retrobulbar neuritis,MONDO:0024335,Diseases of the nervous system
Reversed sleep-wake cycle,-1,Diseases of the nervous system
X-linked intellectual disability-macrocephaly-macroorchidism syndrome,MONDO:0019419,Central Nervous System Diseases
Reye syndrome,MONDO:0005942,Central Nervous System Diseases
Rh isoimmunization,MONDO:0006953,Diseases of the nervous system
Rheumatic chorea with heart involvement,-1,Diseases of the nervous system
Rheumatic chorea without heart involvement,-1,Diseases of the nervous system
rheumatic myocarditis,MONDO:0004582,Diseases of the nervous system
Rheumatic fever with central nervous system involvement,-1,Diseases of the nervous system
rhombencephalosynapsis,MONDO:0018946,Diseases of the nervous system
Rida,-1,Central Nervous System Diseases
rigid spine muscular dystrophy 1,MONDO:0011271,Diseases of the nervous system
"Rigidity, Decerebrate",-1,Neurologic Manifestations
"Rigidity, Muscle",-1,Neurologic Manifestations
"Rigidity, Muscular",-1,Neurologic Manifestations
Ringing Buzzing Tinnitus,-1,Neurologic Manifestations
Ringing-Buzzing-Tinnitus,-1,Neurologic Manifestations
rippling muscle disease,MONDO:0011634,Diseases of the nervous system
rippling muscle disease with myasthenia gravis,MONDO:0016100,Diseases of the nervous system
Rocio viral encephalitis,-1,Diseases of the nervous system
rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,MONDO:0011970,Diseases of the nervous system
rolandic epilepsy-speech dyspraxia syndrome,MONDO:0015587,Diseases of the nervous system
Root fracture,-1,Diseases of the nervous system
Royal Free Disease,-1,Neuromuscular Diseases
Rubinstein-Taybi syndrome,MONDO:0019188,Neurologic Manifestations
rumination disorder,MONDO:0001301,Diseases of the nervous system
Rupture of cerebral arteriovenous malformation,-1,Diseases of the nervous system
Ruptured acquired arteriovenous brain aneurysm,-1,Diseases of the nervous system
Ruptured arteriovenous brain fistula,-1,Diseases of the nervous system
Ruptured arteriovenous cavernous sinus aneurysm,-1,Diseases of the nervous system
Ruptured circle of Willis aneurysm,-1,Diseases of the nervous system
Ruptured meningeal artery,-1,Diseases of the nervous system
Ruptured meningeal brain aneurysm,-1,Diseases of the nervous system
"spinal muscular atrophy, Ryukyuan type",MONDO:0010057,Diseases of the nervous system
SUNCT syndrome,MONDO:0018927,Central Nervous System Diseases
Sacroiliac joint fracture,-1,Diseases of the nervous system
Sagittal fracture of the maxilla,-1,Diseases of the nervous system
"congenital lactic acidosis, Saguenay-Lac-Saint-Jean type",MONDO:0009069,Diseases of the nervous system
Salmonella meningitis,-1,Diseases of the nervous system
sarcoglycanopathy,MONDO:0016140,Neuromuscular Diseases
"Saturnism, Adult Neurologic",-1,Neurotoxicity Syndromes
"Saturnism, Childhood Neurologic",-1,Neurotoxicity Syndromes
Scalp abrasions due to birth injury,-1,Diseases of the nervous system
Scalp injury not elsewhere classified,-1,Diseases of the nervous system
Scalp lacerations due to birth injury,-1,Diseases of the nervous system
"scapuloperoneal spinal muscular atrophy, autosomal dominant",MONDO:0008408,Diseases of the nervous system
progressive scapulohumeroperoneal distal myopathy,MONDO:0014800,Diseases of the nervous system
"congenital myopathy 7A, myosin storage, autosomal dominant",MONDO:0008409,Diseases of the nervous system
Schistorrhachis,-1,Nervous System Malformations
"Schistosomiasis, Central Nervous System",-1,Central Nervous System Diseases
Schizencephalic Cleft,-1,Nervous System Malformations
Schizencephalic Clefts,-1,Nervous System Malformations
Schizencephalic Cyst,-1,Nervous System Malformations
Schizencephalic Cysts,-1,Nervous System Malformations
schizencephaly,MONDO:0010011,Nervous System Malformations
schizophrenia,MONDO:0005090,Diseases of the nervous system
"Schizoaffective disorder, continuous, currently symptomatic",-1,Diseases of the nervous system
"Schizoaffective disorder, continuous, in full remission",-1,Diseases of the nervous system
"Schizoaffective disorder, continuous, in partial remission",-1,Diseases of the nervous system
"Schizoaffective disorder, first episode",-1,Diseases of the nervous system
"Schizoaffective disorder, first episode, currently symptomatic",-1,Diseases of the nervous system
"Schizoaffective disorder, first episode, in full remission",-1,Diseases of the nervous system
"Schizoaffective disorder, first episode, in partial remission",-1,Diseases of the nervous system
"Schizoaffective disorder, multiple episodes",-1,Diseases of the nervous system
"Schizoaffective disorder, multiple episodes, currently symptomatic",-1,Diseases of the nervous system
"Schizoaffective disorder, multiple episodes, in full remission",-1,Diseases of the nervous system
"Schizoaffective disorder, multiple episodes, in partial remission",-1,Diseases of the nervous system
schizoid personality disorder,MONDO:0001161,Diseases of the nervous system
psychotic disorder,MONDO:0005485,Diseases of the nervous system
"Schizophrenia, continuous",-1,Diseases of the nervous system
"Schizophrenia, continuous, currently symptomatic",-1,Diseases of the nervous system
"Schizophrenia, continuous, in full remission",-1,Diseases of the nervous system
"Schizophrenia, continuous, in partial remission",-1,Diseases of the nervous system
"Schizophrenia, first episode",-1,Diseases of the nervous system
"Schizophrenia, first episode, currently symptomatic",-1,Diseases of the nervous system
"Schizophrenia, first episode, in full remission",-1,Diseases of the nervous system
"Schizophrenia, first episode, in partial remission",-1,Diseases of the nervous system
"Schizophrenia, multiple episodes",-1,Diseases of the nervous system
"Schizophrenia, multiple episodes, currently symptomatic",-1,Diseases of the nervous system
"Schizophrenia, multiple episodes, in full remission",-1,Diseases of the nervous system
"Schizophrenia, multiple episodes, in partial remission",-1,Diseases of the nervous system
schizotypal personality disorder,MONDO:0001087,Diseases of the nervous system
"craniometadiaphyseal dysplasia, wormian bone type",MONDO:0010014,Central Nervous System Diseases
Bartter syndrome,MONDO:0015231,Central Nervous System Diseases
sclerosing perineurioma,MONDO:0015030,Diseases of the nervous system
scotoma,MONDO:0004758,Neurologic Manifestations
scrapie,MONDO:0006961,Central Nervous System Diseases
Seasonal pattern of mood episode onset,-1,Diseases of the nervous system
Second Cranial Nerve Injuries,-1,Cranial Nerve Diseases
Second Cranial Nerve Trauma,-1,Cranial Nerve Diseases
Secondary Chorea,-1,Diseases of the nervous system
Secondary Headache Disorder,-1,Central Nervous System Diseases
Secondary Headache Disorders,-1,Central Nervous System Diseases
Secondary acute vestibular syndrome,-1,Diseases of the nervous system
Secondary anxiety syndrome,-1,Diseases of the nervous system
Secondary brachial plexus lesion due to certain specified disorders,-1,Diseases of the nervous system
Secondary cerebrovascular abnormalities,-1,Diseases of the nervous system
Secondary dissociative syndrome,-1,Diseases of the nervous system
Secondary episodic vestibular syndrome,-1,Diseases of the nervous system
secondary erythromelalgia,MONDO:0035149,Diseases of the nervous system
Secondary headache,-1,Diseases of the nervous system
Secondary impulse control syndrome,-1,Diseases of the nervous system
Secondary intracranial hypotension,-1,Diseases of the nervous system
Secondary mental or behavioural syndromes associated with disorders or diseases classified elsewhere,-1,Diseases of the nervous system
Secondary mood syndrome,-1,Diseases of the nervous system
"Secondary mood syndrome, with depressive symptoms",-1,Diseases of the nervous system
"Secondary mood syndrome, with manic symptoms",-1,Diseases of the nervous system
"Secondary mood syndrome, with mixed symptoms",-1,Diseases of the nervous system
"Secondary mood syndrome, with unspecified symptoms",-1,Diseases of the nervous system
"Secondary motor or phonic tics, not elsewhere classified",-1,Diseases of the nervous system
Moyamoya disease,MONDO:0016820,Diseases of the nervous system
Secondary multiple cranial nerve disorder,-1,Diseases of the nervous system
Secondary multiple cranial nerve palsies in infectious or parasitic diseases,-1,Diseases of the nervous system
obsolete primary myoclonus,MONDO:0017651,Diseases of the nervous system
Secondary myopathies,-1,Diseases of the nervous system
Secondary neurocognitive syndrome,-1,Diseases of the nervous system
Secondary neurodevelopmental syndrome,-1,Diseases of the nervous system
Secondary non-arteritic ischemic optic neuropathy associated with anaemia,-1,Diseases of the nervous system
Secondary non-arteritic ischemic optic neuropathy associated with blood loss,-1,Diseases of the nervous system
Secondary non-arteritic ischemic optic neuropathy associated with systemic hypotension,-1,Diseases of the nervous system
Secondary non-arteritic posterior ischemic optic neuropathy,-1,Diseases of the nervous system
Secondary obsessive-compulsive or related syndrome,-1,Diseases of the nervous system
Secondary or delayed haemorrhage of amputation stump,-1,Diseases of the nervous system
paroxysmal dyskinesia,MONDO:0015427,Diseases of the nervous system
Secondary personality change,-1,Diseases of the nervous system
secondary progressive multiple sclerosis,MONDO:0000450,Diseases of the nervous system
Secondary psychotic syndrome,-1,Diseases of the nervous system
"Secondary psychotic syndrome, with delusions",-1,Diseases of the nervous system
"Secondary psychotic syndrome, with hallucinations",-1,Diseases of the nervous system
"Secondary psychotic syndrome, with hallucinations and delusions",-1,Diseases of the nervous system
"Secondary psychotic syndrome, with unspecified symptoms",-1,Diseases of the nervous system
Secondary speech or language syndrome,-1,Diseases of the nervous system
Secondary stereotypy,-1,Diseases of the nervous system
Secondary systemic atrophies primarily affecting the central nervous system,-1,Diseases of the nervous system
Secondary tics,-1,Diseases of the nervous system
Secondary tremor,-1,Diseases of the nervous system
"Secondary trigeminal neuropathy, not elsewhere classified",-1,Diseases of the nervous system
Secondary tumours due to late-delayed brain irradiation,-1,Diseases of the nervous system
Secondary white matter disorders,-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic dependence",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic dependence, current use",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic dependence, early full remission",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic dependence, sustained full remission",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic dependence, sustained partial remission",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic intoxication",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic withdrawal",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic withdrawal, uncomplicated",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic withdrawal, with perceptual disturbances",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic withdrawal, with perceptual disturbances and seizures",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic withdrawal, with seizures",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic-induced anxiety disorder",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic-induced delirium",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic-induced mood disorder",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic-induced mood disorder with depressive symptoms",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic-induced mood disorder with manic symptoms",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic-induced mood disorder with mixed depressive and manic symptoms",-1,Diseases of the nervous system
"Sedative, hypnotic or anxiolytic-induced psychotic disorder",-1,Diseases of the nervous system
Segmental posterior root ganglion degeneration,-1,Diseases of the nervous system
"Seizure Disorder, Major Motor",-1,Central Nervous System Diseases
"Seizure Disorder, Motor",-1,Central Nervous System Diseases
"Seizure Disorders, Motor",-1,Central Nervous System Diseases
Seizure due to acute causes,-1,Diseases of the nervous system
"Seizure, Alcohol Withdrawal-Induced",-1,Neurotoxicity Syndromes
"Seizure, Alcohol-Related",-1,Neurotoxicity Syndromes
"Seizure, Alcoholic",-1,Neurotoxicity Syndromes
"Seizure, Febrile",-1,Neurologic Manifestations
"Seizure, Fever",-1,Neurologic Manifestations
"Seizure, Pyrexial",-1,Neurologic Manifestations
Seizures due to anoxic encephalopathy,-1,Diseases of the nervous system
Seizures due to cerebrovascular diseases,-1,Diseases of the nervous system
Seizures due to injuries to the head,-1,Diseases of the nervous system
Seizures due to medications,-1,Diseases of the nervous system
Seizures due to substance abuse,-1,Diseases of the nervous system
"Seizures, Alcoholic",-1,Neurotoxicity Syndromes
"Seizures, Fever",-1,Neurologic Manifestations
"Seizures, Pyrexial",-1,Neurologic Manifestations
myofibrillar myopathy 6,MONDO:0013061,Diseases of the nervous system
paroxysmal nonkinesigenic dyskinesia 1,MONDO:0700089,Neurologic Manifestations
obsolete choreoathetosis,MONDO:0000012,Neurologic Manifestations
Self-defeating personality disorder,-1,Diseases of the nervous system
Self-inflicted gunshot wound to the head,-1,Diseases of the nervous system
Self-inflicted hair-damaging disorder,-1,Diseases of the nervous system
semantic agnosia,MONDO:0000677,Diseases of the nervous system
obsolete semilobar holoprosencephaly,MONDO:0016355,Diseases of the nervous system
senile degeneration of brain,MONDO:0001987,Diseases of the nervous system
obsolete sensory system disease,MONDO:0005128,Neurologic Manifestations
Sensation disturbance,-1,Diseases of the nervous system
"Sensation, Hyperalgesic",-1,Neurologic Manifestations
"Sensation, Hyperesthetic",-1,Neurologic Manifestations
"Sensation, Impaired",-1,Neurologic Manifestations
"Sensation, Phantom",-1,Neurologic Manifestations
"Sensation, Reduced",-1,Neurologic Manifestations
"Sensation, Spinning",-1,Neurologic Manifestations
"Sensations, Hyperalgesic",-1,Neurologic Manifestations
"Sensations, Hyperesthetic",-1,Neurologic Manifestations
"Sensations, Impaired",-1,Neurologic Manifestations
"Sensations, Phantom",-1,Neurologic Manifestations
"Sensations, Reduced",-1,Neurologic Manifestations
"Sensations, Spinning",-1,Neurologic Manifestations
"Sensitivities, Light",-1,Neurologic Manifestations
"Sensitivity, Light",-1,Neurologic Manifestations
Sensory perineuritis,-1,Diseases of the nervous system
Sensory polyneuropathy due to vitamin E deficiency,-1,Diseases of the nervous system
separation anxiety disorder,MONDO:0001098,Diseases of the nervous system
Sepsis Associated Encephalopathies,-1,Central Nervous System Diseases
Sepsis Associated Encephalopathy,-1,Central Nervous System Diseases
Sepsis-Associated Encephalopathies,-1,Central Nervous System Diseases
Sepsis-Associated Encephalopathy,-1,Central Nervous System Diseases
"Sequelae of complications of surgical and medical care, not elsewhere classified",-1,Diseases of the nervous system
Sequelae of concussion and oedema of cervical spinal cord,-1,Diseases of the nervous system
Sequelae of concussion and oedema of lumbar spinal cord,-1,Diseases of the nervous system
Sequelae of concussion and oedema of thoracic spinal cord,-1,Diseases of the nervous system
Sequelae of contusion of face,-1,Diseases of the nervous system
Sequelae of contusion of head,-1,Diseases of the nervous system
Sequelae of contusion of neck,-1,Diseases of the nervous system
Sequelae of contusion of trunk,-1,Diseases of the nervous system
Sequelae of crushing injury of face,-1,Diseases of the nervous system
Sequelae of crushing injury of head,-1,Diseases of the nervous system
Sequelae of crushing injury of neck,-1,Diseases of the nervous system
Sequelae of dislocation of jaw,-1,Diseases of the nervous system
Sequelae of dislocation of neck,-1,Diseases of the nervous system
"Sequelae of dislocation, sprain or strain of joints or ligaments of head",-1,Diseases of the nervous system
Sequelae of fracture of acetabulum,-1,Diseases of the nervous system
Sequelae of fracture of coccyx,-1,Diseases of the nervous system
Sequelae of fracture of facial bones,-1,Diseases of the nervous system
Sequelae of fracture of ilium,-1,Diseases of the nervous system
Sequelae of fracture of pubis,-1,Diseases of the nervous system
Sequelae of fracture of sacrum,-1,Diseases of the nervous system
Sequelae of fracture of skull,-1,Diseases of the nervous system
Sequelae of fracture of skull and facial bones,-1,Diseases of the nervous system
Sequelae of fracture pelvis,-1,Diseases of the nervous system
Sequelae of inflammatory diseases of central nervous system,-1,Diseases of the nervous system
Sequelae of injuries of head,-1,Diseases of the nervous system
Sequelae of injury of blood vessels of head,-1,Diseases of the nervous system
Sequelae of injury of cranial nerves,-1,Diseases of the nervous system
Sequelae of injury of eye or orbit,-1,Diseases of the nervous system
Sequelae of injury of muscle or tendon of head,-1,Diseases of the nervous system
Sequelae of injury of nerves at ankle or foot level,-1,Diseases of the nervous system
Sequelae of injury of nerves at forearm level,-1,Diseases of the nervous system
Sequelae of injury of nerves at hip or thigh level,-1,Diseases of the nervous system
Sequelae of injury of nerves at lower leg level,-1,Diseases of the nervous system
Sequelae of injury of nerves at shoulder and upper arm level,-1,Diseases of the nervous system
Sequelae of injury of nerves at wrist or hand level,-1,Diseases of the nervous system
Sequelae of intracranial injury,-1,Diseases of the nervous system
Sequelae of muscle injury of face,-1,Diseases of the nervous system
Sequelae of muscle injury of head,-1,Diseases of the nervous system
Sequelae of muscle injury of neck,-1,Diseases of the nervous system
"Sequelae of open wound of abdomen, lower back and pelvis",-1,Diseases of the nervous system
Sequelae of open wound of face,-1,Diseases of the nervous system
Sequelae of open wound of head,-1,Diseases of the nervous system
Sequelae of open wound of neck,-1,Diseases of the nervous system
Sequelae of open wound of thorax,-1,Diseases of the nervous system
Sequelae of other and unspecified injuries of cervical spinal cord,-1,Diseases of the nervous system
Sequelae of other and unspecified injuries of thoracic spinal cord,-1,Diseases of the nervous system
Sequelae of other injury of lumbar spinal cord,-1,Diseases of the nervous system
"Sequelae of superficial injury of abdomen, lower back and pelvis",-1,Diseases of the nervous system
Sequelae of superficial injury of head,-1,Diseases of the nervous system
Sequelae of superficial injury of neck,-1,Diseases of the nervous system
Sequelae of superficial injury of thorax,-1,Diseases of the nervous system
Sequelae of superficial injury of trunk,-1,Diseases of the nervous system
Sequelae of superficial injury or open wound of neck or trunk,-1,Diseases of the nervous system
Sequelae of traumatic amputation of face,-1,Diseases of the nervous system
Sequelae of traumatic amputation of part of head,-1,Diseases of the nervous system
Sequelae of traumatic rupture of ear drum,-1,Diseases of the nervous system
post-viral disorder,MONDO:0021674,Diseases of the nervous system
Sequelae traumatic amputation of head,-1,Diseases of the nervous system
Seroma following surgical procedure,-1,Diseases of the nervous system
serotonin syndrome,MONDO:0018546,Diseases of the nervous system
Serum rash,-1,Diseases of the nervous system
Serum sickness vasculitis,-1,Diseases of the nervous system
Seventh Cranial Nerve Injuries,-1,Cranial Nerve Diseases
Severe alcohol intoxication,-1,Diseases of the nervous system
Severe bodily distress disorder,-1,Diseases of the nervous system
severe congenital nemaline myopathy,MONDO:0015735,Diseases of the nervous system
Severe personality disorder,-1,Diseases of the nervous system
Severe personality disorder with prominent anankastic features and prominent features of detachment,-1,Diseases of the nervous system
Severe personality disorder with prominent dissocial features and prominent anankastic features,-1,Diseases of the nervous system
Severe personality disorder with prominent dissocial features and prominent features of detachment,-1,Diseases of the nervous system
Severe personality disorder with prominent dissocial features and prominent features of disinhibition,-1,Diseases of the nervous system
"Severe personality disorder with prominent dissocial features, prominent anankastic features and prominent features of detachment",-1,Diseases of the nervous system
"Severe personality disorder with prominent dissocial features, prominent features of disinhibition and prominent anankastic features",-1,Diseases of the nervous system
"Severe personality disorder with prominent dissocial features, prominent features of disinhibition and prominent features of detachment",-1,Diseases of the nervous system
"Severe personality disorder with prominent dissocial features, prominent features of disinhibition, prominent anankastic features and prominent features of detachment",-1,Diseases of the nervous system
Severe personality disorder with prominent features of detachment,-1,Diseases of the nervous system
Severe personality disorder with prominent features of disinhibition,-1,Diseases of the nervous system
Severe personality disorder with prominent features of disinhibition and prominent anankastic features,-1,Diseases of the nervous system
Severe personality disorder with prominent features of disinhibition and prominent features of detachment,-1,Diseases of the nervous system
"Severe personality disorder with prominent features of disinhibition, prominent anankastic features and prominent features of detachment",-1,Diseases of the nervous system
Severe personality disorder with prominent features of negative affectivity,-1,Diseases of the nervous system
Severe personality disorder with prominent features of negative affectivity and prominent anankastic features,-1,Diseases of the nervous system
Severe personality disorder with prominent features of negative affectivity and prominent dissocial features,-1,Diseases of the nervous system
Severe personality disorder with prominent features of negative affectivity and prominent features of detachment,-1,Diseases of the nervous system
Severe personality disorder with prominent features of negative affectivity and prominent features of disinhibition,-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent anankastic features and prominent features of detachment",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent dissocial features and prominent anankastic features",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent dissocial features and prominent features of detachment",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent dissocial features and prominent features of disinhibition",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent dissocial features, prominent anankastic features and prominent features of detachment",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent dissocial features, prominent features of disinhibition and prominent anankastic features",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent dissocial features, prominent features of disinhibition and prominent features of detachment",-1,Diseases of the nervous system
"Severe personality disorder with prominent features of negative affectivity, prominent dissocial features, prominent features of disinhibition, prominent anankastic features and prominent features of detachment",-1,Diseases of the nervous system
