disease_mondo_term_norm,disease_mondo_termid,Disease Class
nominal aphasia,MONDO:0003039,Diseases of the nervous system
Amnestic disorder due to diseases classified elsewhere,-1,Diseases of the nervous system
Amnestic disorder due to other specified psychoactive substance including medications,-1,Diseases of the nervous system
Amnestic disorder due to psychoactive substances including medications,-1,Diseases of the nervous system
"Amnestic disorder due to use of sedatives, hypnotics or anxiolytics",-1,Diseases of the nervous system
Amnestic disorder due to use of volatile inhalants,-1,Diseases of the nervous system
Amoebic abscess of brain and liver,-1,Diseases of the nervous system
"Amoebic abscess of brain, liver, and lung",-1,Diseases of the nervous system
Amoebic brain abscess,-1,Diseases of the nervous system
amphetamine abuse,MONDO:0003969,Diseases of the nervous system
Amphetamine intoxication,-1,Diseases of the nervous system
Amputation stump contracture,-1,Diseases of the nervous system
Amputation stump haemorrhage,-1,Diseases of the nervous system
Amputation stump oedema,-1,Diseases of the nervous system
Cornelia de Lange syndrome 1,MONDO:0007387,Neurologic Manifestations
aprosencephaly,MONDO:0035450,Diseases of the nervous system
isolated amyelia,MONDO:0017088,Diseases of the nervous system
cerebral amyloid angiopathy,MONDO:0005620,Central Nervous System Diseases
familial amyloid neuropathy,MONDO:0007100,Neuromuscular Diseases
dermatomyositis,MONDO:0016367,Diseases of the nervous system
juvenile dermatomyositis,MONDO:0008054,Diseases of the nervous system
Amyotrophic lateral sclerosis with autonomic dysfunction,-1,Diseases of the nervous system
amyotrophic lateral sclerosis type 12,MONDO:0013264,Diseases of the nervous system
frontotemporal dementia with motor neuron disease,MONDO:0017161,Diseases of the nervous system
frontotemporal dementia and/or amyotrophic lateral sclerosis 6,MONDO:0013501,Diseases of the nervous system
amyotrophic lateral sclerosis-parkinsonism-dementia complex,MONDO:0007104,Diseases of the nervous system
"sensory ataxic neuropathy, dysarthria, and ophthalmoparesis",MONDO:0011835,Diseases of the nervous system
"amyotrophic lateral sclerosis type 2, juvenile",MONDO:0008780,Diseases of the nervous system
spinal muscular atrophy,MONDO:0001516,Neuromuscular Diseases
muscular atrophy,MONDO:0004323,Diseases of the nervous system
carpal tunnel syndrome,MONDO:0007275,Neuromuscular Diseases
Anacusis,-1,Diseases of the nervous system
Anaesthesia of skin,-1,Diseases of the nervous system
Anaesthetic death during delivery,-1,Diseases of the nervous system
Anaesthetic death in pregnancy,-1,Diseases of the nervous system
Anaesthetic death in the puerperium,-1,Diseases of the nervous system
pain agnosia,MONDO:0000675,Diseases of the nervous system
"indifference to pain, congenital, autosomal dominant",MONDO:0007828,Neuromuscular Diseases
obsessive-compulsive personality disorder,MONDO:0001158,Diseases of the nervous system
anaphylaxis,MONDO:0100053,Diseases of the nervous system
Anarthria,-1,Diseases of the nervous system
Fabry disease,MONDO:0010526,Central Nervous System Diseases
anencephaly,MONDO:0000819,Nervous System Malformations
isolated anencephaly,MONDO:0035401,Diseases of the nervous system
Anepia,-1,Neurologic Manifestations
Anepias,-1,Neurologic Manifestations
Anesthesia Emergence Delirium,-1,Neurologic Manifestations
brain aneurysm,MONDO:0005291,Central Nervous System Diseases
acquired aneurysmal subarachnoid hemorrhage,MONDO:0019543,Diseases of the nervous system
Angelman syndrome,MONDO:0007113,Central Nervous System Diseases
primary central nervous system vasculitis,MONDO:0015374,Central Nervous System Diseases
"Angioma, CNS Venous",-1,Nervous System Malformations
central nervous system hemangioma,MONDO:0003241,Nervous System Malformations
venous hemangioma,MONDO:0003083,Nervous System Malformations
von Hippel-Lindau disease,MONDO:0008667,Neurocutaneous Syndromes
Angiomatosis Oculoorbital-Thalamic Syndrome,-1,Neurocutaneous Syndromes
hemangioma of retina,MONDO:0021541,Neurocutaneous Syndromes
"Angiomatosis, Meningo-Oculo-Facial",-1,Neurocutaneous Syndromes
Crimean-Congo hemorrhagic fever,MONDO:0020501,Central Nervous System Diseases
intracranial vasospasm,MONDO:0006812,Central Nervous System Diseases
Anhedonia,-1,Neurologic Manifestations
Anhedonias,-1,Neurologic Manifestations
anisocoria,MONDO:0007122,Neurologic Manifestations
Anochlesia,-1,Neurologic Manifestations
Anochlesias,-1,Neurologic Manifestations
cervical rib disease,MONDO:0007303,Neuromuscular Diseases
anorexia nervosa,MONDO:0005351,Diseases of the nervous system
Anorexia Nervosa in recovery with normal body weight,-1,Diseases of the nervous system
Anorexia Nervosa with dangerously low body weight,-1,Diseases of the nervous system
"Anorexia Nervosa with dangerously low body weight, binge-purge pattern",-1,Diseases of the nervous system
"Anorexia Nervosa with dangerously low body weight, restricting pattern",-1,Diseases of the nervous system
"Anorexia Nervosa with significantly low body weight, binge-purge pattern",-1,Diseases of the nervous system
"Anorexia Nervosa with significantly low body weight, restricting pattern",-1,Diseases of the nervous system
microtia,MONDO:0010920,Diseases of the nervous system
"Anorgasmia, acquired, generalised",-1,Diseases of the nervous system
"Anorgasmia, acquired, situational",-1,Diseases of the nervous system
"Anorgasmia, lifelong, generalised",-1,Diseases of the nervous system
"Anorgasmia, lifelong, situational",-1,Diseases of the nervous system
anosmia,MONDO:0010528,Diseases of the nervous system
Anoxic-ischaemic encephalopathy,-1,Diseases of the nervous system
antenatal multiminicore disease with arthrogryposis multiplex congenita,MONDO:0015794,Diseases of the nervous system
anterior cerebral artery infarction,MONDO:0006647,Central Nervous System Diseases
Anterior Pituitary Hyposecretion Syndrome,-1,Central Nervous System Diseases
anterior spinal artery syndrome,MONDO:0006650,Central Nervous System Diseases
Anterior cerebral artery syndrome,-1,Diseases of the nervous system
Anterior communicating artery aneurysm,-1,Diseases of the nervous system
Anterior cord syndrome of cervical spinal cord,-1,Diseases of the nervous system
Anterior cord syndrome of cervical spinal cord at C1 level,-1,Diseases of the nervous system
Anterior cord syndrome of cervical spinal cord at C2 level,-1,Diseases of the nervous system
Anterior cord syndrome of cervical spinal cord at C3 level,-1,Diseases of the nervous system
Anterior cord syndrome of cervical spinal cord at C4 level,-1,Diseases of the nervous system
